OrderDetailID,OrderID,ProductID,Quantity,SupplierID
1,7655500,2638,2,3
2,7655500,19202,4,2
3,7655500,20742,18,2
4,7655500,18101,9,4
5,7655500,12248,1,3
6,7655500,21186,2,4
7,7655500,16472,17,4
8,7655500,20832,14,1
9,7655501,478,14,3
10,7655501,4114,19,1
11,7655501,8600,13,6
12,7655501,3833,9,1
13,7655501,12809,8,3
14,7655502,6115,19,4
15,7655502,2018,8,6
16,7655502,6414,11,2
17,7655502,8576,16,4
18,7655502,18420,3,3
19,7655503,26226,16,4
20,7655503,9333,9,4
21,7655503,1388,12,2
22,7655503,19294,16,5
23,7655503,17788,12,6
24,7655503,7893,17,2
25,7655503,9967,2,2
26,7655503,16439,18,6
27,7655503,26385,16,1
28,7655504,13104,7,2
29,7655504,19868,16,2
30,7655504,25462,16,5
31,7655504,662,19,4
32,7655504,1423,20,1
33,7655504,5650,19,6
34,7655505,23607,6,5
35,7655505,9041,7,5
36,7655505,22369,7,3
37,7655505,25137,6,5
38,7655505,7754,10,4
39,7655505,21362,7,3
40,7655505,21462,15,4
41,7655506,23692,4,1
42,7655506,12564,10,4
43,7655506,1597,10,1
44,7655506,10182,6,1
45,7655506,17241,5,3
46,7655506,11387,15,1
47,7655506,21075,19,2
48,7655506,25661,5,6
49,7655506,22228,9,4
50,7655506,10626,4,2
51,7655507,9637,7,1
52,7655507,12514,3,4
53,7655507,10632,2,5
54,7655507,6941,18,3
55,7655508,15353,18,3
56,7655508,4949,10,2
57,7655508,23359,11,4
58,7655508,4895,15,2
59,7655508,13633,10,2
60,7655508,19587,9,4
61,7655508,1886,20,6
62,7655508,5128,7,6
63,7655509,26255,2,2
64,7655509,22833,15,4
65,7655509,28,15,1
66,7655509,20480,15,5
67,7655509,3198,15,5
68,7655509,10001,8,2
69,7655509,3263,3,3
70,7655510,15974,18,6
71,7655510,12571,1,2
72,7655510,16066,20,1
73,7655510,23291,19,2
74,7655511,16045,2,3
75,7655511,12904,1,1
76,7655511,14472,7,3
77,7655511,15183,4,5
78,7655511,13593,2,3
79,7655511,22745,6,1
80,7655512,19307,5,3
81,7655512,23490,19,1
82,7655512,7819,20,2
83,7655512,3623,5,2
84,7655512,22725,6,2
