OrderID,CustomerID,PaymentID,OrderDate,ShipperID,ShipDate,DeliveryDate,Total_order_amount
7655500,57083,2,2020-01-12,7,2020-01-13,2020-01-19,32299
7655501,57086,3,2020-01-20,2,2020-01-24,2020-01-27,6624
7655502,57086,4,2020-02-06,7,2020-02-11,2020-02-21,8895
7655503,57088,4,2020-02-09,1,2020-02-13,2020-02-26,30786
7655504,57090,4,2020-02-11,3,2020-02-15,2020-02-20,22499.77
7655505,57094,4,2020-02-15,1,2020-02-24,2020-02-27,23697.6
7655506,57092,4,2020-02-20,8,2020-02-23,2020-02-27,17444.65
7655507,57095,6,2020-02-23,8,2020-03-04,2020-03-11,2722
7655508,57105,4,2020-02-26,5,2020-02-28,2020-03-08,21813.1
7655509,57095,5,2020-02-26,7,2020-02-27,2020-03-08,10540
7655510,57103,3,2020-03-02,7,2020-03-07,2020-03-14,10107.35
7655511,57100,3,2020-03-05,3,2020-03-07,2020-03-17,6094.075
7655512,57107,4,2020-03-05,8,2020-03-14,2020-03-27,21480.5
7655513,57101,3,2020-03-06,4,2020-03-12,2020-03-26,3918.6275
7655514,57096,5,2020-03-07,7,2020-03-14,2020-03-22,15915
7655515,57110,4,2020-03-12,5,2020-03-20,2020-03-28,12376.44
7655516,57101,3,2020-03-13,2,2020-03-14,2020-03-19,20524.525
7655517,57095,6,2020-03-13,3,2020-03-19,2020-03-30,27983.4
7655518,57099,6,2020-03-15,6,2020-03-22,2020-04-05,37031.05
7655519,57121,4,2020-03-15,1,2020-03-21,2020-03-26,5495
7655520,57083,5,2020-03-18,1,2020-03-19,2020-04-06,29302
7655521,57094,4,2020-03-18,8,2020-03-19,2020-03-24,48802.9
7655522,57083,3,2020-03-20,8,2020-03-24,2020-04-03,43422.352
7655523,57109,4,2020-03-20,2,2020-03-23,2020-04-04,12501
7655524,57120,6,2020-03-21,7,2020-03-30,2020-04-15,28338.61
7655525,57105,4,2020-03-27,5,2020-04-01,2020-04-07,50937
7655526,57087,4,2020-03-27,5,2020-03-31,2020-04-20,5008.08
7655527,57084,5,2020-03-30,5,2020-04-07,2020-04-18,27782.46
7655528,57127,4,2020-03-31,6,2020-04-01,2020-04-09,15735.35
7655529,57132,4,2020-04-01,8,2020-04-08,2020-04-13,6301
7655530,57091,5,2020-04-02,1,2020-04-12,2020-04-15,26080
7655531,57104,3,2020-04-02,7,2020-04-06,2020-04-26,8998.2275
7655532,57112,4,2020-04-04,8,2020-04-09,2020-04-26,15844
7655533,57132,5,2020-04-05,8,2020-04-15,2020-04-19,1140
7655534,57108,6,2020-04-05,8,2020-04-09,2020-04-28,19517.5
7655535,57139,3,2020-04-06,4,2020-04-16,2020-04-22,2418.25
7655536,57138,4,2020-04-06,4,2020-04-09,2020-04-20,58243
7655537,57113,6,2020-04-09,8,2020-04-14,2020-04-17,83341
7655538,57107,4,2020-04-10,3,2020-04-14,2020-05-03,12615
7655539,57113,4,2020-04-10,5,2020-04-20,2020-05-08,16357
7655540,57108,4,2020-04-12,1,2020-04-17,2020-04-25,53814.12
7655541,57138,5,2020-04-14,6,2020-04-23,2020-05-05,2691
7655542,57090,3,2020-04-15,4,2020-04-22,2020-05-05,51702.6355
7655543,57149,4,2020-04-15,7,2020-04-20,2020-05-03,33801
7655544,57123,5,2020-04-17,2,2020-04-23,2020-05-09,12513
7655545,57120,4,2020-04-17,2,2020-04-23,2020-05-03,7574
7655546,57131,4,2020-04-18,4,2020-04-28,2020-04-29,19501
7655547,57160,4,2020-04-19,6,2020-04-26,2020-05-07,37815
7655548,57135,3,2020-04-20,4,2020-04-29,2020-05-07,2116.5
7655549,57144,6,2020-04-20,5,2020-04-21,2020-04-30,58369.5
7655550,57131,3,2020-04-22,3,2020-04-25,2020-05-15,12666.7
7655551,57150,1,2020-04-23,5,2020-04-27,2020-05-05,2137.5
7655552,57091,4,2020-04-24,8,2020-04-25,2020-05-14,1575
7655553,57127,5,2020-04-26,3,2020-05-05,2020-05-23,6752
7655554,57089,3,2020-04-27,6,2020-04-29,2020-05-10,24213.168
7655555,57135,4,2020-04-27,4,2020-05-05,2020-05-22,17082.7
7655556,57160,3,2020-04-28,3,2020-05-06,2020-05-17,24676.265
7655557,57166,4,2020-04-29,3,2020-05-06,2020-05-10,30578.65
7655558,57145,6,2020-04-29,1,2020-05-02,2020-05-03,4068.5
7655559,57157,4,2020-05-01,6,2020-05-06,2020-05-25,10302.88
7655560,57110,3,2020-05-01,4,2020-05-04,2020-05-05,2781.2
7655561,57172,4,2020-05-03,2,2020-05-12,2020-05-16,17679
