ProductID,Product,Category_ID,Sub_Category,Brand,Sale_Price,Market_Price,Type
1,Original Disinfectant Toilet Cleaner Liquid,5001,All Purpose Cleaners,Harpic,489,534,Toilet Cleaners
2,"Disinfectant Surface & Floor Cleaner Liquid - Citrus, Kills 99.9% Germs",5001,All Purpose Cleaners,Lizol,302,380,Floor & Other Cleaners
3,Surface Disinfectant Spray,5001,All Purpose Cleaners,Savlon,257,318,Disinfectant Spray & Cleaners
4,Harpic Disinfectant Toilet Cleaner Original200ml+Lizol Floor Cleaner Citrus200ml,5001,All Purpose Cleaners,bb Combo,74,76,Toilet Cleaners
5,"Harpic Toilet Cleaner Liquid - Original 1 L + Lizol Floor Cleaner, Citrus - 2L",5001,All Purpose Cleaners,bb Combo,462,558,Toilet Cleaners
6,Disinfectant Bathroom Cleaner Liquid - Lemon,5001,All Purpose Cleaners,Harpic,299,362,Toilet Cleaners
7,"Super Saver Pack Toilet Cleaner Original, 500ml + Bathroom Cleaner Lemon, 500ml",5001,All Purpose Cleaners,Harpic,162,184,Toilet Cleaners
8,Original 1 ltr + Bathroom Cleaner Lemon 500 ml,5001,All Purpose Cleaners,Harpic,247,273,Toilet Cleaners
9,Disinfectant Toilet Cleaner Liquid - 1 L + Bathroom Cleaner Liquid - 500 ml,5001,All Purpose Cleaners,Harpic,247,273,Toilet Cleaners
10,"Harpic Bathroom Cleaner - Lemon 1 L + Harpic Toilet Cleaner, Original - 1 L",5001,All Purpose Cleaners,Harpic,318,359,Toilet Cleaners
11,"Lizol Floor Cleaner, Floral - 2L + Harpic Toilet Cleaner Liquid - Original 1L",5001,All Purpose Cleaners,bb Combo,483,540,Floor & Other Cleaners
12,Double Concentrate Surface Cleaner 900 ml + Harpic Power Plus Toilet Cleaner 1 L,5001,All Purpose Cleaners,Lizol,415,503,Floor & Other Cleaners
13,"Lizol Floor Cleaner, Citrus - 500ml + Harpic Bathroom Cleaning Liquid - Lemon 500ml",5001,All Purpose Cleaners,bb Combo,172,188,Floor & Other Cleaners
14,Liquid Disinfectant Cleaner for Home - Lime Fresh,5001,All Purpose Cleaners,Dettol,317,386,Disinfectant Spray & Cleaners
15,"Disinfectant Floor Cleaner Liquid - Floral, Kills 99.9% Germs",5001,All Purpose Cleaners,Lizol,445,564,Floor & Other Cleaners
16,"Floor Cleaner - Citrus 500 ml + Floral - 500 ml, Kills 99.9% Germs",5001,All Purpose Cleaners,Lizol,162,191,Floor & Other Cleaners
17,Disinfectant Surface & Floor Cleaner Liquid - [Citrus 2 L + Floral 2 L],5001,All Purpose Cleaners,Lizol,613,742,Floor & Other Cleaners
18,Disinfectant Surface & Floor Cleaner Liquid - [Citrus 975 ml + Floral 975 ml],5001,All Purpose Cleaners,Lizol,333,376,Floor & Other Cleaners
19,Disinfectant Surface & Floor Cleaner Liquid - [Citrus 2 L + Lavender 2 L],5001,All Purpose Cleaners,Lizol,631,742,Floor & Other Cleaners
20,"Disinfectant Surface & Floor Cleaner - [Citrus, Floral & Lavender (500 ml Each)]",5001,All Purpose Cleaners,Lizol,253,289,Floor & Other Cleaners
21,Disinfectant Surface & Floor Cleaner Liquid - Lavender,5001,All Purpose Cleaners,Lizol,671,724,Floor & Other Cleaners
22,Glass Cleaner Liquid Spray,5001,All Purpose Cleaners,Colin,251,279,"Kitchen, Glass & Drain"
23,Disinfectant Toilet Cleaner - White & Shine Bleach,5001,All Purpose Cleaners,Harpic,77,89,Toilet Cleaners
24,Disinfectant Bathroom Cleaner Liquid - Floral,5001,All Purpose Cleaners,Harpic,307,362,Toilet Cleaners
25,"Bathroom Cleaner Liquid - Lemon 1 L + Toilet Cleaner - Bleach, White & Shine - 500 ml",5001,All Purpose Cleaners,Harpic,228,270,Toilet Cleaners
26,Disinfectant Spray Sanitizer For Germ-Protection - Original Pine,5001,All Purpose Cleaners,Dettol,287,318,Disinfectant Spray & Cleaners
27,Dranex Drain Cleaner,5001,All Purpose Cleaners,Kiwi,128,135,"Kitchen, Glass & Drain"
28,Kitchen Cleaner - Powers Through Grease & Grime,5001,All Purpose Cleaners,Mr Muscle,112,130,"Kitchen, Glass & Drain"
29,Bathroom Cleaner Liquid 1 L + Lizol Double Concentrate Surface Cleaner 900 ml,5001,All Purpose Cleaners,Harpic,404,506,Toilet Cleaners
30,Disinfectant Surface & Floor Cleaner - [Floral 2 L + Lavender 2 L],5001,All Purpose Cleaners,Lizol,652,724,Floor & Other Cleaners
31,Disinfectant Toilet Cleaner Liquid - Rose,5001,All Purpose Cleaners,Harpic,479,534,Toilet Cleaners
32,"Glass Cleaner Liquid Refill Pack - Cleans Mirror, Car & Home Appliances",5001,All Purpose Cleaners,Colin,139,159,"Kitchen, Glass & Drain"
33,Fresh Guard Ocean Fresh Disinfectant Toilet Cleaner,5001,All Purpose Cleaners,Domex,92,135,Toilet Cleaners
34,Hygiene Liquid- Lime Fresh 500 ml + Disinfectant Spray- Original 225 ml,5001,All Purpose Cleaners,Dettol,296,352,Disinfectant Spray & Cleaners
35,Colin Cleaner - Glass and Household 500 ml + Scotch Brite Sponge Wipe Large 1 pc,5001,All Purpose Cleaners,bb Combo,155,163,"Kitchen, Glass & Drain"
36,Toilet Cleaner - Lime Fresh,5001,All Purpose Cleaners,Domex,174,260,Toilet Cleaners
37,"Disinfectant Skin & Surface Wipes, Original 40 Count + Lime Fresh 500 ml",5001,All Purpose Cleaners,Dettol,260,322,"Wet Wipe, Pocket Tissues"
38,Lime Fresh 500 ml + Laundry San- Fresh Linen 480 ml,5001,All Purpose Cleaners,Dettol,303,363,Disinfectant Spray & Cleaners
39,Toilet Cleaner - Original,5001,All Purpose Cleaners,BB Home,118,168,Toilet Cleaners
40,Lime Fresh 500 ml + Laundry San- Spring Blossom 480 ml,5001,All Purpose Cleaners,Dettol,303,363,Disinfectant Spray & Cleaners
41,Flushmatic In-Cistern Toilet Cleaner Blocks - Aquamarine,5001,All Purpose Cleaners,Harpic,264,292,Toilet Cleaners
42,After Wash Liquid Laundry Sanitizer - Fresh Linen,5001,All Purpose Cleaners,Dettol,261,290,"Fabric Pre, Post Wash"
43,Floor Cleaner,5001,All Purpose Cleaners,Domex,150,189,Floor & Other Cleaners
44,Glass & Household Cleaner 500 ml + Glass Cleaner Liquid Refill Pack 1 L,5001,All Purpose Cleaners,Colin,219,252,"Kitchen, Glass & Drain"
45,"Disinfectant Floor & Surface Cleaner - Citrus, Kills 99.9% Germs",5001,All Purpose Cleaners,BB Home,98,98,Floor & Other Cleaners
46,Floor Cleaner - Herbal,5001,All Purpose Cleaners,Nimyle,270,300,Floor & Other Cleaners
47,"Mop Bucket 360 Degree Spin with 2 Refills,Blue 1pc + Floor Cleaner-Citrus 500ml",5001,All Purpose Cleaners,BB Home,697,1188,"Mops, Wipers"
48,After Wash Liquid Laundry Sanitizer - Spring Blossom,5001,All Purpose Cleaners,Dettol,261,290,"Fabric Pre, Post Wash"
49,Hygienic Toilet Rim Block - Lavender,5001,All Purpose Cleaners,Harpic,133,156,Toilet Cleaners
50,Toilet Cleaner Expert - Original,5001,All Purpose Cleaners,Domex,150,180,Toilet Cleaners
51,Hygienic Toilet Cleaner Rim Block - Citrus,5001,All Purpose Cleaners,Harpic,133,156,Toilet Cleaners
52,Germ Fighter Handwash Neem 750 ml + On The Go Travel Disinfectant Citrus 85 ml,5001,All Purpose Cleaners,Godrej Protekt,180,199,Disinfectant Spray & Cleaners
53,"Disinfectant Floor & Surface Cleaner - Neem, Kills 99.9% Germs",5001,All Purpose Cleaners,BB Home,98,98,Floor & Other Cleaners
54,Liquid Disinfectant for Multi-Purpose Germ Protection - Menthol Cool,5001,All Purpose Cleaners,Dettol,331,386,Disinfectant Spray & Cleaners
55,Germ Fighter Handwash Neem 750 ml + Multi-purpose Disinfectant Cleaner 500 ml,5001,All Purpose Cleaners,Godrej Protekt,223,249,Disinfectant Spray & Cleaners
56,Dranex Drain Cleaner,5001,All Purpose Cleaners,Kiwi,160,160,"Kitchen, Glass & Drain"
57,Phenyle - Cool Cyan,5001,All Purpose Cleaners,Germisol,60,60,Floor & Other Cleaners
58,Disinfectant Toilet Cleaner Liquid - Rose,5001,All Purpose Cleaners,Harpic,154,178,Toilet Cleaners
59,"Disinfectant - Spray, Original, 225 ml + Skin & Surface Wipes, Original 40 pcs",5001,All Purpose Cleaners,Dettol,246,288,Disinfectant Spray & Cleaners
60,Phenyle - Black Disinfectant Fluid,5001,All Purpose Cleaners,Germisol,69,73,Floor & Other Cleaners
61,"Disinfectant Surface & Floor Cleaner Liquid - Neem, Kills 99.9% Germs",5001,All Purpose Cleaners,Lizol,92,93,Floor & Other Cleaners
62,Harpic Disinfectant Toilet Cleaner 1L + Vanish Fabric Stain Remover Liquid - 800ml,5001,All Purpose Cleaners,bb Combo,343,385,Toilet Cleaners
63,Liquid Disinfectant Menthol Cool 500ml + Disinfectant Spray- Original 225ml,5001,All Purpose Cleaners,Dettol,302,352,Disinfectant Spray & Cleaners
64,"Disinfectant Floor & Surface Cleaner - Floral, Kills 99.9% Germs",5001,All Purpose Cleaners,BB Home,98,98,Floor & Other Cleaners
65,Toilet Cleaner - Ultra Shine,5001,All Purpose Cleaners,SANIFRESH,104,154,Toilet Cleaners
66,Flushmatic In-Cistern Toilet Cleaner Blocks - Aquamarine,5001,All Purpose Cleaners,Harpic,351,408,Toilet Cleaners
67,Bleaching Powder - Strong,5001,All Purpose Cleaners,Zermisol,24,24,Floor & Other Cleaners
68,Power Plus Disinfectant Toilet Cleaner 1 L + Cistern Block - Flushmatic 100g,5001,All Purpose Cleaners,Harpic,274,324,Toilet Cleaners
69,Toilet Cleaner - Rose,5001,All Purpose Cleaners,BB Home,118,168,Toilet Cleaners
70,"Disinfectant Floor Cleaner Liquid - Sandal, Kills 99.9% Germs",5001,All Purpose Cleaners,Lizol,169,186,Floor & Other Cleaners
71,"Disinfectant Surface & Floor Cleaner Liquid - Citrus, Kills 99.9% Germs",5001,All Purpose Cleaners,Lizol,809,809,Floor & Other Cleaners
72,"Disinfectant, Floor cleaner & Insect Repellent",5001,All Purpose Cleaners,Herbal Strategi,316,360,Floor & Other Cleaners
73,Phenyl - Mountain Magic (Herbal),5001,All Purpose Cleaners,Germisol,60,60,Floor & Other Cleaners
74,Kitchen Power Cleaner Spray - Removes 99.9% Germs,5001,All Purpose Cleaners,Lizol,129,140,Disinfectant Spray & Cleaners
75,Masterblaster Liquid Handwash 750 ml + On The Go Travel Disinfectant Citrus 85ml,5001,All Purpose Cleaners,Godrej Protekt,183,199,Disinfectant Spray & Cleaners
76,Phenyl - Organic Floor Cleaner,5001,All Purpose Cleaners,Gou Ganga,320,320,Floor & Other Cleaners
77,"Disinfectant Skin & Surface Wipes, Original 40 Count + Menthol Cool, 500 ml",5001,All Purpose Cleaners,Dettol,266,322,"Wet Wipe, Pocket Tissues"
78,Disinfectant Toilet Cleaner - Lemon - Kills 99.9% Germs,5001,All Purpose Cleaners,BB Home,86,86,Toilet Cleaners
79,Menthol Cool 500 ml + Laundry San- Fresh Linen 480 ml,5001,All Purpose Cleaners,Dettol,310,363,Disinfectant Spray & Cleaners
80,Masterblaster Liquid Handwash 750 ml + Multi-purpose Disinfectant Cleaner 500 ml,5001,All Purpose Cleaners,Godrej Protekt,226,249,Disinfectant Spray & Cleaners
81,Clothes Disinfectant & Refreshing Spray,5001,All Purpose Cleaners,Savlon,175,175,Disinfectant Spray & Cleaners
82,bb Home Floor Cleaner - Neem 500 ml + bb Home Floor Cleaner - Citrus 500 ml,5001,All Purpose Cleaners,bb Combo,196,196,Floor & Other Cleaners
83,Buy Floor Cleaner - Citrus Bottle 1050 ml: Get Citrus Fragrance Pouch 550 ml Free,5001,All Purpose Cleaners,Mr Muscle,152,172,Floor & Other Cleaners
84,Menthol Cool 500 ml + Laundry San-Spring Blossom 480 ml,5001,All Purpose Cleaners,Dettol,310,363,Disinfectant Spray & Cleaners
85,Power Fresh 6 Toilet Rim Block - Marine Splash,5001,All Purpose Cleaners,Harpic,159,179,Toilet Cleaners
86,"Disinfectant Floor Cleaner Liquid - Pine, Kills 99.9% Germs",5001,All Purpose Cleaners,Lizol,169,186,Floor & Other Cleaners
87,"Kitchen Cleaner, Disinfectant & Insect Repellent",5001,All Purpose Cleaners,Herbal Strategi,115,130,"Kitchen, Glass & Drain"
88,"Just Mop - Herbal Floor Cleaner, Disinfectant & Insect Repellent",5001,All Purpose Cleaners,Herbal Strategi,95,95,Floor & Other Cleaners
89,Disinfectant Surface Sanitizer,5001,All Purpose Cleaners,Maxkleen,224,300,Disinfectant Spray & Cleaners
90,Flushmatic In-Cistern Toilet Cleaner Blocks - Pine,5001,All Purpose Cleaners,Harpic,375,438,Toilet Cleaners
91,Spray & Wipe Multipurpose Disinfectant Cleaner,5001,All Purpose Cleaners,Savlon,140,159,Floor & Other Cleaners
92,Bathroom Cleaning Spray - Extra Strong,5001,All Purpose Cleaners,Harpic,122,140,Toilet Cleaners
93,Safewash Liquid Detergent 1kg (1kg Free)+Maxkleen Disinfectant Sanitizer 500ml,5001,All Purpose Cleaners,bb Combo,401,500,"Detergent Powder, Liquid"
